,E,F,R,phi
37,-11.642195701599121,"[[-0.0015677  -0.00015259  0.00010405]
 [ 0.00156767 -0.00015241 -0.00010434]
 [-0.00112638  0.0001525   0.00252204]
 [ 0.00112641  0.0001525  -0.00252175]]","[[-4.90745281e-02 -1.41847357e-02  1.62905809e-03]
 [ 4.90745026e-02 -1.41847759e-02  1.47837100e+00]
 [ 8.93544069e-01  4.45235892e-01 -2.28379232e-01]
 [-8.93544090e-01  4.45235908e-01  1.70837920e+00]]",128.655826192649
38,-11.642011642456055,"[[-2.6860315e-04 -2.5195370e-05  1.9441086e-05]
 [ 2.6869657e-04 -2.5813604e-05 -1.8453462e-05]
 [-1.9142946e-04  2.5498917e-05  4.3048913e-04]
 [ 1.9133605e-04  2.5510059e-05 -4.3147674e-04]]","[[-0.05206123 -0.00744793  0.00183363]
 [ 0.05206123 -0.00744797  1.47816643]
 [ 0.89377191  0.4436742  -0.23138186]
 [-0.89377191  0.4436742   1.7113818 ]]",129.655826192649
39,-11.640307426452637,"[[-0.00223382 -0.00020731  0.00016422]
 [ 0.00223386 -0.00020751 -0.00016391]
 [-0.00158076  0.00020741  0.00357194]
 [ 0.00158072  0.00020741 -0.00357225]]","[[-0.054203   -0.00883291  0.00198778]
 [ 0.05420299 -0.0088329   1.47801221]
 [ 0.89494005  0.43392613 -0.23379358]
 [-0.89494006  0.43392613  1.7137936 ]]",130.655826192649
40,-11.640618324279785,"[[-0.00206812 -0.00018826  0.00023633]
 [ 0.00206812 -0.00018826 -0.00023633]
 [-0.00133396  0.00018826  0.00336111]
 [ 0.00133396  0.00018826 -0.00336112]]","[[-0.0840143  -0.03673092  0.00478472]
 [ 0.08401435 -0.03673098  1.47521539]
 [ 0.85876675  0.39763787 -0.26905575]
 [-0.85876672  0.39763786  1.7490557 ]]",131.655826192649
41,-11.640262603759766,"[[-1.4582695e-03 -1.2874378e-04  7.9332211e-05]
 [ 1.4582707e-03 -1.2875162e-04 -7.9319034e-05]
 [-1.0744149e-03  1.2874760e-04  2.2879792e-03]
 [ 1.0744138e-03  1.2874781e-04 -2.2879923e-03]]","[[-4.01944021e-02  5.73620112e-03  1.09242004e-03]
 [ 4.01944124e-02  5.73620493e-03  1.47890758e+00]
 [ 9.21100650e-01  4.31695389e-01 -2.15636768e-01]
 [-9.21100642e-01  4.31695386e-01  1.69563677e+00]]",132.655826192649
42,-11.638777732849121,"[[-9.9014178e-05 -8.5539041e-06  5.7919119e-06]
 [ 9.9000565e-05 -8.4725743e-06 -5.9305021e-06]
 [-7.2238072e-05  8.5143920e-06  1.5511332e-04]
 [ 7.2251685e-05  8.5120864e-06 -1.5497472e-04]]","[[-4.37312047e-02  2.64152282e-03  1.29333446e-03]
 [ 4.37312284e-02  2.64148426e-03  1.47870672e+00]
 [ 9.20379238e-01  4.20162893e-01 -2.19314707e-01]
 [-9.20379225e-01  4.20162890e-01  1.69931465e+00]]",133.655826192649
43,-11.637765884399414,"[[-5.9131184e-04 -4.9605984e-05  3.5328481e-05]
 [ 5.9130066e-04 -4.9542345e-05 -3.5438839e-05]
 [-4.3084691e-04  4.9575145e-05  9.2235371e-04]
 [ 4.3085811e-04  4.9573187e-05 -9.2224334e-04]]","[[-4.42024016e-02  2.29814827e-03  1.32129381e-03]
 [ 4.42023954e-02  2.29821624e-03  1.47867859e+00]
 [ 9.23497927e-01  4.11329764e-01 -2.19473091e-01]
 [-9.23497912e-01  4.11329759e-01  1.69947320e+00]]",134.655826192649
44,-11.636301040649414,"[[-2.7079109e-04 -2.2152948e-05  1.6089210e-05]
 [ 2.7077875e-04 -2.2086848e-05 -1.6205875e-05]
 [-1.9737602e-04  2.2120996e-05  4.2059948e-04]
 [ 1.9738835e-04  2.2118800e-05 -4.2048280e-04]]","[[-4.40496974e-02  2.51211373e-03  1.31220169e-03]
 [ 4.40496869e-02  2.51214529e-03  1.47868775e+00]
 [ 9.27357418e-01  4.03022313e-01 -2.18825813e-01]
 [-9.27357415e-01  4.03022313e-01  1.69882587e+00]]",135.655826192649
45,-11.637868881225586,"[[-6.4952110e-05 -4.3266614e-06  5.3762642e-06]
 [ 6.5285218e-05 -6.0292859e-06 -2.3151608e-06]
 [-4.7693520e-05  5.1477273e-06  9.9157252e-05]
 [ 4.7360409e-05  5.2082200e-06 -1.0221836e-04]]","[[-4.36260197e-02  2.97847579e-03  1.28792393e-03]
 [ 4.36262945e-02  2.97747326e-03  1.47871374e+00]
 [ 9.31506962e-01  3.94938216e-01 -2.17764991e-01]
 [-9.31507037e-01  3.94938249e-01  1.69776323e+00]]",136.655826192649
46,-11.636035919189453,"[[-9.8217418e-04 -7.5944095e-05  5.7338853e-05]
 [ 9.8221772e-04 -7.6156706e-05 -5.6949222e-05]
 [-7.1807549e-04  7.6046374e-05  1.5117239e-03]
 [ 7.1803201e-04  7.6054421e-05 -1.5121135e-03]]","[[-4.29804256e-02  3.58892717e-03  1.24924764e-03]
 [ 4.29804267e-02  3.58892114e-03  1.47875076e+00]
 [ 9.35839557e-01  3.86959408e-01 -2.16556774e-01]
 [-9.35839558e-01  3.86959409e-01  1.69655676e+00]]",137.655826192649
