,E,F,R,phi,fn
37,-11.605195045471191,"[[-0.00107211  0.00126509  0.00227809]
 [ 0.00143735 -0.00152019  0.00210953]
 [-0.00110705  0.0001058  -0.00015556]
 [ 0.00074181  0.0001493  -0.00423207]]","[[-0.04763637 -0.01627877  0.00319184]
 [ 0.04787335 -0.01960852  1.48010307]
 [ 0.89540751  0.44147052 -0.22840001]
 [-0.8951664   0.44150989  1.70492922]]",128.655826192649,hper_a.xyz
38,-11.604227066040039,"[[-0.00176117 -0.00097896 -0.00120609]
 [ 0.00150159  0.00067439 -0.00143151]
 [-0.00102051  0.00016793  0.00392112]
 [ 0.00128008  0.00013664 -0.00128352]]","[[-0.05134272 -0.00630602  0.00368762]
 [ 0.05201023 -0.00896941  1.48007208]
 [ 0.89427243  0.44321818 -0.23346408]
 [-0.89415535  0.44372574  1.7088487 ]]",129.655826192649,hper_a.xyz
39,-11.604851722717285,"[[ 0.00197887 -0.00054013 -0.00135258]
 [-0.00220555  0.00093166 -0.00103946]
 [ 0.00160703 -0.00018107 -0.00216442]
 [-0.00138035 -0.00021046  0.00455646]]","[[-0.05446433 -0.00747912  0.00417727]
 [ 0.05485505 -0.01067402  1.48013088]
 [ 0.89447829  0.43370112 -0.23534068]
 [-0.8947051   0.43383741  1.71088194]]",130.655826192649,hper_a.xyz
40,-11.603679656982422,"[[ 8.6763338e-04  5.5640971e-04  7.1621710e-04]
 [-6.0032477e-04 -4.3051344e-04  9.0334832e-04]
 [ 3.1459026e-04 -7.3882868e-05 -2.0012227e-03]
 [-5.8189890e-04 -5.2013402e-05  3.8165730e-04]]","[[-0.09595118 -0.04729746  0.00724372]
 [ 0.09507047 -0.05315028  1.47485282]
 [ 0.84350436  0.38308818 -0.28377591]
 [-0.84250541  0.38529479  1.75984114]]",131.655826192649,hper_a.xyz
41,-11.603638648986816,"[[ 1.7888243e-04 -2.0076451e-03 -3.4810072e-03]
 [-7.9820689e-04  2.1065939e-03 -3.4205085e-03]
 [ 7.0316507e-04  3.1347647e-06  2.6491107e-03]
 [-8.3840634e-05 -1.0208354e-04  4.2524049e-03]]","[[-0.04061938  0.00678045  0.00356322]
 [ 0.04113465  0.00446645  1.48130167]
 [ 0.9200084   0.43175936 -0.21799524]
 [-0.92064138  0.43148772  1.69376498]]",132.655826192649,hper_a.xyz
42,-11.602858543395996,"[[ 1.3309369e-03 -9.1718335e-05 -4.3972369e-04]
 [-1.3930736e-03  3.2650426e-04 -2.7725313e-04]
 [ 1.0281983e-03 -1.1165172e-04 -1.7778099e-03]
 [-9.6606166e-04 -1.2313419e-04  2.4947866e-03]]","[[-4.36674966e-02  3.72574614e-03  3.34922090e-03]
 [ 4.41210700e-02  1.58385291e-03  1.48074171e+00]
 [ 9.20018662e-01  4.20292233e-01 -2.20887923e-01]
 [-9.20484270e-01  4.20122084e-01  1.69722089e+00]]",133.655826192649,hper_a.xyz
43,-11.600027084350586,"[[ 0.00181615  0.00050562  0.00051868]
 [-0.00167934 -0.00021548  0.00072755]
 [ 0.00120077 -0.00015615 -0.00334458]
 [-0.00133758 -0.00013399  0.00209835]]","[[-4.41235504e-02  3.27316159e-03  3.16736687e-03]
 [ 4.45610652e-02  1.29489764e-03  1.48050657e+00]
 [ 9.23214033e-01  4.11417407e-01 -2.20835361e-01]
 [-9.23594885e-01  4.11275088e-01  1.69751175e+00]]",134.655826192649,hper_a.xyz
44,-11.599353790283203,"[[ 1.0070052e-03 -8.6724357e-04 -1.7810896e-03]
 [-1.3605051e-03  1.0671701e-03 -1.6367603e-03]
 [ 1.0558417e-03 -6.8030575e-05 -1.4595846e-04]
 [-7.0234173e-04 -1.3189587e-04  3.5638083e-03]]","[[-4.38006829e-02  3.78561599e-03  3.55179808e-03]
 [ 4.42951593e-02  1.37639474e-03  1.48092559e+00]
 [ 9.27142567e-01  4.03162847e-01 -2.20653419e-01]
 [-9.27644186e-01  4.03053020e-01  1.69654271e+00]]",135.655826192649,hper_a.xyz
45,-11.596933364868164,"[[ 0.00196492  0.00079677  0.00106539]
 [-0.00169946 -0.00050989  0.00127976]
 [ 0.00119535 -0.00016661 -0.00399562]
 [-0.00146081 -0.00012027  0.00165046]]","[[-0.04335586  0.00410614  0.00326682]
 [ 0.04383457  0.00197737  1.48069475]
 [ 0.93136518  0.39507045 -0.21936906]
 [-0.93177868  0.3949586   1.69574236]]",136.655826192649,hper_a.xyz
46,-11.598308563232422,"[[ 6.9699361e-04  7.4291712e-04  1.2554607e-03]
 [-4.0686649e-04 -6.6187035e-04  1.3176434e-03]
 [ 2.4828265e-04 -6.7122419e-05 -2.1256888e-03]
 [-5.3840980e-04 -1.3924339e-05 -4.4741534e-04]]","[[-0.04268049  0.00464089  0.00317263]
 [ 0.04316614  0.00258566  1.48067936]
 [ 0.93570184  0.38703769 -0.21828087]
 [-0.9360947   0.38693192  1.69475201]]",137.655826192649,hper_a.xyz
47,-11.598173141479492,"[[ 0.00227023  0.00082458  0.00112446]
 [-0.00197382 -0.00050991  0.00136574]
 [ 0.00139614 -0.00018394 -0.00448689]
 [-0.00169255 -0.00013073  0.00199669]]","[[-0.04207659  0.00528313  0.00324398]
 [ 0.0425979   0.00314437  1.48081822]
 [ 0.93993479  0.37903581 -0.21690033]
 [-0.9403512   0.37893024  1.69317873]]",138.655826192649,hper_a.xyz
48,-11.597919464111328,"[[ 4.8395951e-04 -6.1550316e-05 -2.1752701e-04]
 [-5.2525237e-04  1.3605843e-04 -1.6055652e-04]
 [ 3.9251155e-04 -3.3068412e-05 -5.8240304e-04]
 [-3.5121865e-04 -4.1439696e-05  9.6048659e-04]]","[[-0.04127273  0.00586876  0.00306538]
 [ 0.04175876  0.00390995  1.48073311]
 [ 0.94432142  0.37105087 -0.21544585]
 [-0.94472623  0.37094937  1.69199215]]",139.655826192649,hper_a.xyz
49,-11.598258018493652,"[[ 1.1508000e-03  9.1764028e-04  1.6093502e-03]
 [-7.5108313e-04 -7.8742462e-04  1.7120714e-03]
 [ 4.8775025e-04 -1.0290197e-04 -3.0935903e-03]
 [-8.8746718e-04 -2.7313699e-05 -2.2783125e-04]]","[[-0.04049933  0.00646165  0.00292762]
 [ 0.04093233  0.00465722  1.48068458]
 [ 0.94861109  0.3630384  -0.21390079]
 [-0.94903768  0.36294001  1.69066974]]",140.655826192649,hper_a.xyz
50,-11.594379425048828,"[[ 1.0107207e-03 -4.9328408e-04 -1.2080786e-03]
 [-1.2817219e-03  6.5548095e-04 -1.0829453e-03]
 [ 9.8947820e-04 -5.4378786e-05 -5.9749366e-04]
 [-7.1847707e-04 -1.0781807e-04  2.8885177e-03]]","[[-0.0396      0.00722413  0.00301402]
 [ 0.04010444  0.00529986  1.480865  ]
 [ 0.95292044  0.35503258 -0.21247011]
 [-0.95335003  0.35493712  1.68895856]]",141.655826192649,hper_a.xyz
51,-11.596790313720703,"[[-9.0926664e-04  7.8283738e-05  3.4034107e-04]
 [ 9.7597780e-04 -2.0618846e-04  2.4098577e-04]
 [-7.3179876e-04  5.6959303e-05  1.1315297e-03]
 [ 6.6508766e-04  7.0945425e-05 -1.7128565e-03]]","[[-0.03855972  0.00790673  0.00293525]
 [ 0.03905127  0.00605166  1.48089773]
 [ 0.95725037  0.34697913 -0.21129152]
 [-0.95769589  0.34688903  1.687842  ]]",142.655826192649,hper_a.xyz
52,-11.593788146972656,"[[-4.4223212e-04 -1.0491936e-03 -2.1653797e-03]
 [-1.0337115e-04  1.0338463e-03 -2.1801996e-03]
 [ 1.6333000e-04  6.0483377e-05  2.4111830e-03]
 [ 3.8227325e-04 -4.5136156e-05  1.9343961e-03]]","[[-0.03758938  0.00860449  0.00286475]
 [ 0.03808107  0.00681039  1.48092793]
 [ 0.96156018  0.33894979 -0.20943949]
 [-0.96200547  0.33885877  1.68604184]]",143.655826192649,hper_a.xyz
53,-11.591546058654785,"[[ 8.0798491e-04 -9.2655147e-04 -2.1900015e-03]
 [-1.3447142e-03  1.0695257e-03 -2.0800803e-03]
 [ 1.0843275e-03 -1.8989567e-05  5.1047676e-04]
 [-5.4759817e-04 -1.2398463e-04  3.7596051e-03]]","[[-0.03661718  0.00933252  0.00291978]
 [ 0.03714301  0.00748     1.48107945]
 [ 0.96575734  0.3308611  -0.20771173]
 [-0.96622994  0.33077611  1.68411469]]",144.655826192649,hper_a.xyz
54,-11.593125343322754,"[[ 5.2269024e-04 -1.5791245e-05 -1.3332478e-04]
 [-5.4763176e-04  8.1719787e-05 -8.1392718e-05]
 [ 4.1173416e-04 -3.0260739e-05 -6.8985129e-04]
 [-3.8679264e-04 -3.5667803e-05  9.0456882e-04]]","[[-0.03552632  0.00997043  0.00272459]
 [ 0.036046    0.00828814  1.48099202]
 [ 0.97002719  0.32277064 -0.20588776]
 [-0.9704446   0.32265797  1.68260858]]",145.655826192649,hper_a.xyz
55,-11.589937210083008,"[[ 1.5093582e-03 -5.5551176e-05 -4.0697519e-04]
 [-1.5886712e-03  2.4014637e-04 -2.6127623e-04]
 [ 1.1990033e-03 -8.3861545e-05 -1.9644778e-03]
 [-1.1196902e-03 -1.0073365e-04  2.6327292e-03]]","[[-0.03444034  0.01065     0.00265142]
 [ 0.03493242  0.00903191  1.48102377]
 [ 0.97424401  0.3146338  -0.20386898]
 [-0.97468444  0.31454134  1.68062019]]",146.655826192649,hper_a.xyz
56,-11.59376335144043,"[[ 1.6303244e-03 -1.9151832e-04 -7.5205578e-04]
 [-1.7993078e-03  3.8987200e-04 -5.9608591e-04]
 [ 1.3741368e-03 -8.2183768e-05 -1.8626021e-03]
 [-1.2051533e-03 -1.1616991e-04  3.2107437e-03]]","[[-0.03322536  0.01135443  0.00257715]
 [ 0.03374522  0.00978171  1.48106031]
 [ 0.97852387  0.3064983  -0.20176212]
 [-0.97893385  0.30639937  1.67854452]]",147.655826192649,hper_a.xyz
